City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
329,Isangel,VU,76.69,light rain,-19.55,169.2667,Tanna Lodge
330,Okha,RU,62.37,overcast clouds,53.5739,142.9478,Sakhalin-Sfera
331,Lac Du Bonnet,CA,60.76,broken clouds,50.2536,-96.0612,Drifter's Inn
332,Cazones,MX,77.76,clear sky,20.7167,-97.3167,Hotel paraíso
333,Vaitape,PF,79.0,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
334,San Jose De Ocoa,DO,70.25,broken clouds,18.55,-70.5,Hotel El Barcon
335,Xuddur,SO,75.65,scattered clouds,4.1213,43.8894,Banjanay Hotel
336,Spearfish,US,85.87,clear sky,44.4908,-103.8594,Travelodge by Wyndham Spearfish
337,Alta,NO,52.86,overcast clouds,69.9689,23.2717,Scandic Alta
338,Conceicao Do Araguaia,BR,68.22,broken clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
340,Oussouye,SN,75.85,light rain,12.485,-16.5469,Auberge du Routard
341,Oxelosund,SE,57.58,mist,58.6706,17.1015,Stjärnholms Slott
342,Dwarka,IN,83.32,overcast clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
344,Harrison,US,85.06,few clouds,40.969,-73.7126,Courtyard by Marriott Rye
345,Nantucket,US,78.91,fog,41.2835,-70.0995,Jared Coffin House
346,Berezovyy,RU,74.93,overcast clouds,51.6667,135.7,"Hotel ""Phoenix"""
348,Ancud,CL,45.23,overcast clouds,-41.8697,-73.8203,Hotel Arena Gruesa
